,name,did_not_play,date,team,opponent,home_away,game_start,seconds_played,field_goal_pct,field_goal_attempt,field_goal_made,threePT_made,threePT_attempt,threePT_pct,free_throws_made,free_throws_attempt,free_throws_pct,orb,drb,trb,assists,steals,blocks,turnovers,points,game_score,plus_minus
333,Arron Afflalo,1,2017-10-29,ORL,CHO,1,,,,,,,,,,,,,,,,,,,,,
334,Arron Afflalo,0,2017-10-30,ORL,NOP,1,0,65,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
335,Arron Afflalo,0,2017-11-01,ORL,MEM,1,0,425,1,1,1,0,0,,0,0,,0,0,0,0,0,0,2,2,-0.7,-2
336,Arron Afflalo,0,2017-11-03,ORL,CHI,0,0,1093,0.2,5,1,0,3,0,0,0,,0,1,1,0,0,0,0,2,-0.8,-11
337,Arron Afflalo,0,2017-11-05,ORL,BOS,0,0,181,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,5
338,Arron Afflalo,1,2017-11-08,ORL,NYK,0,,,,,,,,,,,,,,,,,,,,,
339,Arron Afflalo,0,2017-11-10,ORL,PHO,1,0,460,,0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,-0.3,-9
340,Arron Afflalo,0,2017-11-11,ORL,DEN,1,0,1286,0.5,4,2,1,1,1,0,0,,0,8,8,1,1,0,0,5,6.7,5
341,Arron Afflalo,0,2017-11-13,ORL,GSW,1,0,300,0.5,2,1,1,2,0.5,0,0,,0,0,0,0,0,0,0,3,2,8
342,Arron Afflalo,1,2017-11-15,ORL,POR,1,,,,,,,,,,,,,,,,,,,,,
343,Arron Afflalo,0,2017-11-18,ORL,UTA,0,0,1479,0.167,6,1,0,4,0,1,2,0.5,1,6,7,4,0,0,0,3,3.3,-33
344,Arron Afflalo,0,2017-11-20,ORL,IND,0,0,718,0,1,0,0,1,0,0,0,,0,1,1,0,0,0,1,0,-1.8,5
345,Arron Afflalo,0,2017-11-22,ORL,MIN,1,0,652,1,1,1,1,1,1,0,0,,0,2,2,0,0,1,1,3,1.4,-7
346,Arron Afflalo,0,2017-11-24,ORL,BOS,1,0,1176,0.5,6,3,2,2,1,0,1,0,0,3,3,0,0,0,0,8,5.1,12
347,Arron Afflalo,0,2017-11-25,ORL,PHI,1,0,465,,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,-0.4,-5
348,Arron Afflalo,1,2017-11-27,ORL,IND,1,,,,,,,,,,,,,,,,,,,,,
349,Arron Afflalo,0,2017-11-29,ORL,OKC,0,0,973,0,2,0,0,1,0,0,0,,0,1,1,0,0,1,1,0,-2.2,20
350,Arron Afflalo,0,2017-12-01,ORL,GSW,0,0,1073,0,3,0,0,0,,2,2,1,0,0,0,0,0,0,0,2,-0.1,-9
351,Arron Afflalo,0,2017-12-03,ORL,NYK,1,0,1110,0.333,3,1,1,2,0.5,1,2,0.5,0,2,2,1,0,0,0,4,2.8,1
352,Arron Afflalo,0,2017-12-04,ORL,CHO,1,0,1103,0.5,6,3,0,3,0,0,0,,0,2,2,1,0,0,1,6,2.1,-1
353,Arron Afflalo,0,2017-12-06,ORL,ATL,0,0,775,0.667,3,2,0,1,0,0,0,,0,2,2,0,0,0,0,4,2.9,-2
354,Arron Afflalo,0,2017-12-08,ORL,DEN,0,1,1568,0.4,5,2,0,0,,2,2,1,2,2,4,0,0,1,0,6,6,-5
355,Arron Afflalo,0,2017-12-09,ORL,ATL,1,1,1488,0.5,4,2,0,2,0,0,0,,0,0,0,0,0,0,1,4,-0.6,-12
356,Arron Afflalo,1,2017-12-13,ORL,LAC,0,,,,,,,,,,,,,,,,,,,,,
357,Arron Afflalo,1,2017-12-15,ORL,POR,0,,,,,,,,,,,,,,,,,,,,,
358,Arron Afflalo,1,2017-12-17,ORL,DET,1,,,,,,,,,,,,,,,,,,,,,
359,Arron Afflalo,0,2017-12-20,ORL,CHI,1,0,569,0.2,5,1,0,2,0,0,0,,0,0,0,1,0,0,0,2,-0.8,-10
360,Arron Afflalo,0,2017-12-22,ORL,NOP,0,0,667,0,3,0,0,0,,2,2,1,0,0,0,0,1,0,0,2,0.9,-20
361,Arron Afflalo,0,2017-12-23,ORL,WAS,1,0,711,0,4,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,-3.2,4
362,Arron Afflalo,0,2017-12-26,ORL,MIA,1,0,1012,0.75,4,3,1,1,1,2,2,1,0,0,0,0,0,0,0,9,6.6,1
363,Arron Afflalo,0,2017-12-28,ORL,DET,0,0,848,0.5,4,2,2,3,0.667,2,2,1,0,2,2,0,0,0,0,8,6.2,10
364,Arron Afflalo,0,2017-12-30,ORL,MIA,0,0,873,1,1,1,0,0,,0,0,,0,0,0,1,0,0,1,2,1,-5
365,Arron Afflalo,0,2018-01-01,ORL,BRK,1,0,486,0.5,2,1,0,1,0,0,0,,0,0,0,1,0,0,2,2,-0.3,5
366,Arron Afflalo,0,2018-01-03,ORL,HOU,0,0,1101,0.714,7,5,1,3,0.333,0,0,,0,1,1,0,0,0,0,11,8.4,2
367,Arron Afflalo,0,2018-01-06,ORL,CLE,0,0,624,0.5,4,2,2,2,1,0,0,,0,1,1,0,0,0,0,6,3.1,5
368,Arron Afflalo,0,2018-01-09,ORL,DAL,1,0,983,0.5,2,1,0,0,,0,0,,0,0,0,2,0,0,0,2,2,13
369,Arron Afflalo,0,2018-01-10,ORL,MIL,1,0,671,0,2,0,0,0,,0,0,,0,2,2,1,0,1,0,0,0.6,9
370,Arron Afflalo,0,2018-01-12,ORL,WAS,1,0,403,0.667,3,2,2,2,1,0,0,,0,1,1,0,0,0,0,6,4.2,-5
371,Arron Afflalo,0,2018-01-16,ORL,MIN,0,0,274,0,2,0,0,0,,0,0,,0,1,1,0,0,0,0,0,-1.1,-2
372,Arron Afflalo,1,2018-01-18,ORL,CLE,1,,,,,,,,,,,,,,,,,,,,,
373,Arron Afflalo,1,2018-01-21,ORL,BOS,1,,,,,,,,,,,,,,,,,,,,,
374,Arron Afflalo,1,2018-01-23,ORL,SAC,0,,,,,,,,,,,,,,,,,,,,,
375,Arron Afflalo,1,2018-01-27,ORL,IND,1,,,,,,,,,,,,,,,,,,,,,
376,Arron Afflalo,0,2018-01-30,ORL,HOU,1,0,885,0.333,3,1,0,1,0,0,0,,0,1,1,2,0,0,1,2,0.2,0
377,Arron Afflalo,0,2018-01-31,ORL,LAL,0,0,391,0.667,3,2,2,2,1,0,0,,0,0,0,0,0,0,1,6,3.3,-4
378,Arron Afflalo,1,2018-02-03,ORL,WAS,0,,,,,,,,,,,,,,,,,,,,,
379,Arron Afflalo,0,2018-02-05,ORL,MIA,1,0,951,0.25,4,1,0,1,0,0,0,,0,6,6,2,0,1,1,2,1.7,5
380,Arron Afflalo,0,2018-02-06,ORL,CLE,0,0,344,0.333,3,1,0,0,,0,0,,0,0,0,0,0,0,0,2,0.3,-7
381,Arron Afflalo,0,2018-02-08,ORL,ATL,0,0,362,0,2,0,0,1,0,0,0,,0,1,1,0,0,1,1,0,-1.8,1
